Hair Color,Eye Color,Skin Tone,Under Tone,Torso length,Body Proportion,Recommended Clothing Colors,Avoid Clothing Colors,Recommended Fitting Style,Recommended Materials,Recommended Patterns,Recommended Jewelry Metal,Recommended Shoes,Recommended Clothing Color Wheel Region
Black,Brown,Very Fair,Warm,Short Torso,Rectangle,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Defined Waist,Structured Cotton,Curved Lines,Gold,Low Heels or Flats,"Warm colors (red, orange, yellow, warm greens)"
Black,Brown,Very Fair,Warm,Short Torso,Inverted Triangle,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",A-Line Bottoms,Flowy Fabric,Vertical Stripes,Gold,Low Heels or Flats,"Warm colors (red, orange, yellow, warm greens)"
Black,Brown,Very Fair,Warm,Short Torso,Triangle,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Emphasize Top,Lightweight Cotton,Bright Tops,Gold,Low Heels or Flats,"Warm colors (red, orange, yellow, warm greens)"
Black,Brown,Very Fair,Warm,Short Torso,Oval,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Wraps and Empire,"Jersey, Knits",Diagonal Lines,Gold,Low Heels or Flats,"Warm colors (red, orange, yellow, warm greens)"
Black,Brown,Very Fair,Warm,Short Torso,Trapezoid,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Balanced Fit,Soft Blends,Simple Solids,Gold,Low Heels or Flats,"Warm colors (red, orange, yellow, warm greens)"
Black,Brown,Very Fair,Warm,Short Torso,Hourglass,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Tailored Fit,"Stretchy, Soft Fabric",Subtle Prints,Gold,Low Heels or Flats,"Warm colors (red, orange, yellow, warm greens)"
Black,Brown,Very Fair,Warm,Short Torso,Apple,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Empire Waist,Drapey Fabric,Dark Solid Tops,Gold,Low Heels or Flats,"Warm colors (red, orange, yellow, warm greens)"
Black,Brown,Very Fair,Warm,Long Torso,Rectangle,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Defined Waist,Structured Cotton,Curved Lines,Gold,Heels or Platforms,"Warm colors (red, orange, yellow, warm greens)"
Black,Brown,Very Fair,Warm,Long Torso,Inverted Triangle,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",A-Line Bottoms,Flowy Fabric,Vertical Stripes,Gold,Heels or Platforms,"Warm colors (red, orange, yellow, warm greens)"
Black,Brown,Very Fair,Warm,Long Torso,Triangle,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Emphasize Top,Lightweight Cotton,Bright Tops,Gold,Heels or Platforms,"Warm colors (red, orange, yellow, warm greens)"
Black,Brown,Very Fair,Warm,Long Torso,Oval,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Wraps and Empire,"Jersey, Knits",Diagonal Lines,Gold,Heels or Platforms,"Warm colors (red, orange, yellow, warm greens)"
Black,Brown,Very Fair,Warm,Long Torso,Trapezoid,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Balanced Fit,Soft Blends,Simple Solids,Gold,Heels or Platforms,"Warm colors (red, orange, yellow, warm greens)"
Black,Brown,Very Fair,Warm,Long Torso,Hourglass,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Tailored Fit,"Stretchy, Soft Fabric",Subtle Prints,Gold,Heels or Platforms,"Warm colors (red, orange, yellow, warm greens)"
Black,Brown,Very Fair,Warm,Long Torso,Apple,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Empire Waist,Drapey Fabric,Dark Solid Tops,Gold,Heels or Platforms,"Warm colors (red, orange, yellow, warm greens)"
Black,Brown,Very Fair,Warm,Balanced,Rectangle,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Defined Waist,Structured Cotton,Curved Lines,Gold,Any Style,"Warm colors (red, orange, yellow, warm greens)"
